,车号,CollectTime,加速踏板位置,电池包主负继电器状态,电池包主正继电器状态,制动踏板状态,驾驶员离开提示,主驾驶座占用状态,驾驶员安全带状态,手刹状态,整车钥匙状态,低压蓄电池电压,整车当前档位状态,整车当前总电流,整车当前总电压,车速,方向盘转角,time_delta,time_delta_5,电池包主负继电器状态cate,if_off,if_on,v_diff1,v_diff2,v_diff3,v_diff4,a_min5,a_mean5,a_max3
6,121,2020-11-29 06:21:49,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.08,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
7,121,2020-11-29 06:21:51,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.08,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
8,121,2020-11-29 06:21:53,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.08,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
9,121,2020-11-29 06:21:55,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.05,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
10,121,2020-11-29 06:21:57,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.05,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
11,121,2020-11-29 06:21:59,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.05,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
12,121,2020-11-29 06:22:01,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.05,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
13,121,2020-11-29 06:22:03,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.05,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
14,121,2020-11-29 06:22:05,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.05,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
15,121,2020-11-29 06:22:07,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
16,121,2020-11-29 06:22:09,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
17,121,2020-11-29 06:22:11,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
18,121,2020-11-29 06:22:13,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
19,121,2020-11-29 06:22:15,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
20,121,2020-11-29 06:22:17,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
21,121,2020-11-29 06:22:19,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
22,121,2020-11-29 06:22:21,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
23,121,2020-11-29 06:22:23,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
24,121,2020-11-29 06:22:25,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
25,121,2020-11-29 06:22:27,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
26,121,2020-11-29 06:22:29,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
27,121,2020-11-29 06:22:31,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
28,121,2020-11-29 06:22:33,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
29,121,2020-11-29 06:22:35,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
30,121,2020-11-29 06:22:37,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
31,121,2020-11-29 06:22:39,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
32,121,2020-11-29 06:22:41,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
33,121,2020-11-29 06:22:43,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
34,121,2020-11-29 06:22:45,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
35,121,2020-11-29 06:22:47,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,12.01,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
36,121,2020-11-29 06:22:49,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
37,121,2020-11-29 06:22:51,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
38,121,2020-11-29 06:22:53,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
39,121,2020-11-29 06:22:55,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
40,121,2020-11-29 06:22:57,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
41,121,2020-11-29 06:22:59,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
42,121,2020-11-29 06:23:01,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
43,121,2020-11-29 06:23:03,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
44,121,2020-11-29 06:23:05,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
45,121,2020-11-29 06:23:07,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
46,121,2020-11-29 06:23:09,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
47,121,2020-11-29 06:23:11,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
48,121,2020-11-29 06:23:13,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
49,121,2020-11-29 06:23:15,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
50,121,2020-11-29 06:23:17,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
51,121,2020-11-29 06:23:19,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
52,121,2020-11-29 06:23:21,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
53,121,2020-11-29 06:23:23,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
54,121,2020-11-29 06:23:25,0.0,断开,断开,未踩,No Warning,空置,未系,手刹拉起,OFF,11.98,空档,0.0,121.3,0.0,0.0,2.0,10.0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
